InputBits	Constant	Area
8	183	1903200.000000
8	184	2514580.000000
8	185	2343500.000000
8	186	3135450.000000
8	187	1638800.000000
8	188	2666220.000000
8	189	3039230.000000
8	190	3058670.000000
8	191	856340.000000
8	192	2657250.000000
8	193	2627340.000000
8	194	2505610.000000
8	195	2456260.000000
8	196	2646780.000000
8	197	2475700.000000
8	198	2798420.000000
8	199	1751560.000000
8	200	3342510.000000
8	201	2778980.000000
8	202	2817860.000000
8	203	2607900.000000
8	204	3231920.000000
8	205	2486170.000000
8	206	3460340.000000
8	207	1046860.000000
8	208	3959960.000000
8	209	2778980.000000
8	210	4111600.000000
8	211	2627340.000000
8	212	2817860.000000
8	213	3940520.000000
8	214	3210310.000000
8	215	1903200.000000
8	216	2798420.000000
8	217	2093720.000000
8	218	2514580.000000
8	219	1922640.000000
8	220	2646780.000000
8	221	1942080.000000
8	222	2798420.000000
8	223	875780.000000
8	224	3483680.000000
8	225	1942080.000000
8	226	3190870.000000
8	227	1771000.000000
8	228	2495140.000000
8	229	1790440.000000
8	230	3060840.000000
8	231	1599920.000000
8	232	3806400.000000
8	233	2324060.000000
8	234	2343500.000000
8	235	1619360.000000
8	236	2950060.000000
8	237	2889760.000000
8	238	2798420.000000
8	239	895220.000000
8	240	2798420.000000
8	241	3464240.000000
8	242	2646780.000000
8	243	1638800.000000
8	244	4340020.000000
8	245	2475700.000000
8	246	3808320.000000
8	247	1751560.000000
8	248	3483680.000000
8	249	3312600.000000
8	250	3332040.000000
8	251	2607900.000000
8	252	2418360.000000
8	253	3464240.000000
8	254	2266720.000000
